id,name,family,handler,enabled,status,frame,result,notes,source
0,NOP_STATUS_OK,core,MetaCore,True,current,,,Set status OK,runtime_meta_dispatch.bas
1,CLS,core,MetaCore,True,current,,,Clear screen,runtime_meta_dispatch.bas
2,LOCATE_HOME,core,MetaCore,True,current,,,"Locate 1,1",runtime_meta_dispatch.bas
3,RANDOM_BYTE,core,MetaCore,True,current,,,T+1=random byte,runtime_meta_dispatch.bas
4,TIMER_MS,core,MetaCore,True,current,,,T+1=timer ms masked,runtime_meta_dispatch.bas
5,NEWLINE,core,MetaCore,True,current,,,Print newline,runtime_meta_dispatch.bas
6,PRINT_META_PREFIX,core,MetaCore,True,current,,,Print [UXM META],runtime_meta_dispatch.bas
7,CONST_7,core,MetaCore,True,current,,,T+1=7,runtime_meta_dispatch.bas
8,CONST_8,core,MetaCore,True,current,,,T+1=8,runtime_meta_dispatch.bas
9,GET_STATUS,core,MetaCore,True,current,,,T+1=ux_status,runtime_meta_dispatch.bas
10,STATUS_OK,core,MetaCore,True,current,,,Set status OK,runtime_meta_dispatch.bas
11,SET_STATUS_ARG1,core,MetaCore,True,current,,,status=Arg1 low byte,runtime_meta_dispatch.bas
12,PRINT_STATUS,core,MetaCore,True,current,,,Print status message,runtime_meta_dispatch.bas
13,STATUS_ASSERT_NONZERO,core,MetaCore,True,current,,,If status OK set 1 else keep,runtime_meta_dispatch.bas
14,CLEAR_STATUS,core,MetaCore,True,current,,,Set status OK,runtime_meta_dispatch.bas
15,GET_ERROR_FLAG,core,MetaCore,True,current,,,T+1=1 if FLAG_ERR else 0,runtime_meta_dispatch.bas
20,ADD,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
21,SUB,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
22,MUL,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
23,DIV,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
24,MOD,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
25,MIN,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
26,MAX,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
27,ABS_ARG2,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
28,NEG_ARG2,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
29,CMP,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
30,RANDOM_INT_RANGE,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
31,RANDOM_SEED,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
32,RANDOM_SCALED,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
33,DIV_UNSIGNED_ALIAS,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
34,DIV_SIGNED,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
35,MOD_UNSIGNED_ALIAS,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
36,MOD_SIGNED,arithmetic,MetaArithmetic,True,current,"T-2=Arg1, T-1=Arg2, T=Arg0",T+1=result,,runtime_meta_dispatch.bas
40,SIN_SCALED_DEG,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
41,COS_SCALED_DEG,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
42,TAN_SCALED_DEG,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
43,HYPOTENUSE,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
44,ASIN_DEG,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
45,ACOS_DEG,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
46,SQRT,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
47,SINH_SCALED,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
48,COSH_SCALED,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
49,TANH_SCALED,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
52,ASINH_SCALED,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
53,ACOSH_SCALED,math,MetaMath,True,current,Arg1/Arg2 depending service,T+1=result,,runtime_meta_dispatch.bas
